	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
187652	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5cncs5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	7.853871964321763	14.0	CHEMBL3643388	CHEMBL3130	True
187654	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5cnn(C)c5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	8.301029995663981	5.0	CHEMBL3643400	CHEMBL3130	True
187656	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5cnoc5C)C4)c3C2)cc1C	O00329	IC50	Homo sapiens	7.67778070526608	21.0	CHEMBL3643378	CHEMBL3130	True
187658	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5coc(C)n5)C4)c3C2)cc1C	O00329	IC50	Homo sapiens	7.886056647693162	13.0	CHEMBL3643362	CHEMBL3130	True
187660	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5cocn5)C4)c3C2)cc1C	O00329	IC50	Homo sapiens	7.795880017344077	16.0	CHEMBL3643364	CHEMBL3130	True
187662	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5cocn5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	7.958607314841775	11.0	CHEMBL3643437	CHEMBL3130	True
187664	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5conc5C)C4)c3C2)cc1C	O00329	IC50	Homo sapiens	7.638272163982407	23.0	CHEMBL3643379	CHEMBL3130	True
187666	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5cscn5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	8.301029995663981	5.0	CHEMBL3643401	CHEMBL3130	True
187668	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5ncoc5C)C4)c3C2)cc1C	O00329	IC50	Homo sapiens	7.3979400086720375	40.0	CHEMBL3643377	CHEMBL3130	True
187670	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5nnc(C)o5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	7.356547323513813	44.0	CHEMBL3643397	CHEMBL3130	True
187672	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5oc(C)nc5C)C4)c3C2)cc1C	O00329	IC50	Homo sapiens	8.045757490560675	9.0	CHEMBL3643358	CHEMBL3130	True
187674	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5oc(C)nc5C)C4)c3C2)cc1C#N	O00329	IC50	Homo sapiens	8.397940008672037	4.0	CHEMBL3643375	CHEMBL3130	True
187676	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5oc(C)nc5C)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	8.221848749616356	6.0	CHEMBL3643387	CHEMBL3130	True
187678	COc1ncc(N2CCc3ncnc(OC4CCN(C(=O)c5ocnc5C)C4)c3C2)cc1C	O00329	IC50	Homo sapiens	7.481486060122112	33.0	CHEMBL3643366	CHEMBL3130	True
187680	COc1ncc(N2CCc3ncnc(OC4CCN(c5ccccn5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	7.638272163982407	23.0	CHEMBL3643411	CHEMBL3130	True
187682	COc1ncc(N2CCc3ncnc(OC4CCN(c5ncccn5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	7.853871964321763	14.0	CHEMBL3643412	CHEMBL3130	True
187684	COc1ncc(N2CCc3ncnc(OC4CN(C(=O)C5CCOCC5)C4)c3C2)cc1C(F)(F)F	O00329	IC50	Homo sapiens	7.522878745280337	30.0	CHEMBL3643404	CHEMBL3130	True
187694	COc1ncc(Nc2nc3ccc(C(C)(C)O)cn3c2-c2nc(C)nc(N)n2)cc1F	O00329	Ki	Homo sapiens	9.221848749616356	0.6	CHEMBL3618245	CHEMBL3130	True
188088	COc1nn2c(O)cc(-c3ccncc3)nc2c1Cc1cccc(Cl)c1Cl	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL2322344	CHEMBL3130	True
188422	CS(=O)(=O)C1C2CCC(CC2)C1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F	O00329	Ki	Homo sapiens	5.481486060122112	3300.0	CHEMBL3401990	CHEMBL3130	True
188680	CS(=O)(=O)Cc1cc(C23CCOCC2C3)nc(-c2cccc(O)c2)n1	O00329	IC50	Homo sapiens	5.100000119397514	9915.0	CHEMBL4455107_CHEMBL4585940	CHEMBL3130	False
188681	CS(=O)(=O)Cc1cc(C2=CCOCC2)nc(-c2cccc(O)c2)n1	O00329	IC50	Homo sapiens	5.800000874803202	1584.89	CHEMBL4591800	CHEMBL3130	True
189059	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	Kd	Homo sapiens	8.481486060122112	3.3	CHEMBL521851	CHEMBL3130	True
189060	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	Ki	Homo sapiens	7.508638306165728	31.0	CHEMBL521851	CHEMBL3130	True
