	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
3697	C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)CC1	O00329	IC50	Homo sapiens	6.638272163982407	230.0	CHEMBL3909068	CHEMBL3130	True
3701	C=CC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	O00329	IC50	Homo sapiens	8.823908740944319	1.5	CHEMBL3979343	CHEMBL3130	True
3860	C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)CC1	O00329	IC50	Homo sapiens	6.920818753952375	120.0	CHEMBL3918001	CHEMBL3130	True
3862	C=CC(=O)NC1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	O00329	IC50	Homo sapiens	7.698970004336019	20.0	CHEMBL3889977	CHEMBL3130	True
4603	C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5ccc(F)nc5)cc4c32)cc1	O00329	IC50	Homo sapiens	5.896196279044043	1270.0	CHEMBL4535121	CHEMBL3130	False
4604	C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)cc1	O00329	IC50	Homo sapiens	6.560667306169737	275.0	CHEMBL4246563	CHEMBL3130	True
4611	C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ncc(-c5cccnc5)cc4c32)cc1	O00329	IC50	Homo sapiens	6.0	1000.0	CHEMBL4528988	CHEMBL3130	False
4983	C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5ccc(F)nc5)cc4c32)c1	O00329	IC50	Homo sapiens	6.036212172654443	920.0	CHEMBL4564014	CHEMBL3130	True
4986	C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)c1	O00329	IC50	Homo sapiens	6.769551078621726	170.0	CHEMBL4559706	CHEMBL3130	True
9196	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL4516194	CHEMBL3130	True
9200	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.400007822415903	39.81	CHEMBL4556864	CHEMBL3130	True
9204	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.799970733446231	15.85	CHEMBL4443987	CHEMBL3130	True
9217	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	8.199970640755865	6.31	CHEMBL4580111	CHEMBL3130	True
9221	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.899974269892138	12.59	CHEMBL4583106	CHEMBL3130	True
9225	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.700057099977232	19.95	CHEMBL4576565	CHEMBL3130	True
9229	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.500038134403808	31.62	CHEMBL4458909	CHEMBL3130	True
9233	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.999994853671372	10.2665	CHEMBL4454271_CHEMBL4462986	CHEMBL3130	True
9237	CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	8.199970640755865	6.31	CHEMBL4437468	CHEMBL3130	True
9394	CC(=O)N1C(C)CN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)CC1C	O00329	IC50	Homo sapiens	8.853871964321762	1.4	CHEMBL4083625	CHEMBL3130	False
9419	CC(=O)N1CC(C)N(c2cc(F)cc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1	O00329	IC50	Homo sapiens	9.045757490560677	0.9	CHEMBL4091002	CHEMBL3130	False
9423	CC(=O)N1CC(C)N(c2cncc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1	O00329	IC50	Homo sapiens	9.221848749616356	0.6	CHEMBL4083212	CHEMBL3130	False
10203	CC(=O)N1CCN(c2cc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)ccn2)CC1	O00329	IC50	Homo sapiens	8.2839966563652	5.2	CHEMBL4080063	CHEMBL3130	False
10236	CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(=O)C1	O00329	IC50	Homo sapiens	8.259637310505756	5.5	CHEMBL4081103	CHEMBL3130	False
10240	CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C(F)(F)F)C1	O00329	IC50	Homo sapiens	9.096910013008056	0.8	CHEMBL4097699	CHEMBL3130	False
10241	CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1	O00329	IC50	Homo sapiens	8.769551078621726	1.7	CHEMBL4083101	CHEMBL3130	False
10242	CC(=O)N1CCN(c2cccc(-c3cc(-c4cnn(C)c4)c4c(N)ncnn34)c2)C(=O)C1(C)C	O00329	IC50	Homo sapiens	8.003502450784326	14.05	CHEMBL4105075	CHEMBL3130	False
10243	CC(=O)N1CCN(c2cccc(-c3cc(C#N)c4c(N)ncnn34)c2)C(=O)C1(C)C	O00329	IC50	Homo sapiens	7.872363747448348	20.5	CHEMBL4092240	CHEMBL3130	False
10244	CC(=O)N1CCN(c2cccc(-c3cc(C)c4c(N)ncnn34)c2)C(=O)C1(C)C	O00329	IC50	Homo sapiens	7.5882628854148475	41.5	CHEMBL4102444	CHEMBL3130	False
10245	CC(=O)N1CCN(c2cccc(-c3cc(Cl)c4c(N)ncnn34)c2C)C(=O)C1(C)C	O00329	IC50	Homo sapiens	7.0	100.0	CHEMBL4088567	CHEMBL3130	False
10832	CC(=O)N=c1[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1	O00329	IC50	Homo sapiens	7.017164014389946	98.5	CHEMBL1229535	CHEMBL3130	True
12375	CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.299988937677887	50.12	CHEMBL4555758	CHEMBL3130	True
12379	CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.100015437450608	79.43	CHEMBL4465563	CHEMBL3130	True
12383	CC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.100015437450608	79.43	CHEMBL4448306	CHEMBL3130	True
12399	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	7.199970640755867	63.1	CHEMBL4580546	CHEMBL3130	True
12403	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.100015437450608	79.43	CHEMBL4469603	CHEMBL3130	True
12407	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	6.5999976540720455	251.19	CHEMBL4435258	CHEMBL3130	True
12411	CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	6.699991797446188	199.53	CHEMBL4441686	CHEMBL3130	True
12415	CC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	O00329	IC50	Homo sapiens	6.800003501330773	184.71666666666667	CHEMBL4444263_CHEMBL4465671_CHEMBL4537126	CHEMBL3130	True
12419	CC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1	O00329	IC50	Homo sapiens	7.0	100.0	CHEMBL4468444	CHEMBL3130	True
12511	CC(=O)NCC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1	O00329	IC50	Homo sapiens	7.585026652029183	26.0	CHEMBL2322661	CHEMBL3130	True
13018	CC(=O)NCc1ccc2c(c1)OCCc1sc(-c3ncnn3C(C)C)nc1-2	O00329	IC50	Homo sapiens	7.991399828238082	10.2	CHEMBL2381263	CHEMBL3130	True
13063	CC(=O)NCc1nc2c(-c3cnc[nH]3)cc(N3CCOCC3)nn2c1Cc1cccc(C(F)(F)F)c1C	O00329	Kd	Homo sapiens	7.229147988357855	59.0	CHEMBL3903747	CHEMBL3130	True
13617	CC(=O)Nc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1	O00329	IC50	Homo sapiens	6.903089986991942	125.0	CHEMBL2322236	CHEMBL3130	True
14053	CC(=O)Nc1cccc(-c2cc(-c3ccnn3C3CCCCC3)c3c(N)ncnn23)c1	O00329	IC50	Homo sapiens	7.958607314841775	11.0	CHEMBL4584207	CHEMBL3130	False
14455	CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1	O00329	IC50	Homo sapiens	7.0	100.0	CHEMBL2418954	CHEMBL3130	True
14463	CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C(F)(F)F)n3)ccc2n1	O00329	IC50	Homo sapiens	8.096910013008056	8.0	CHEMBL3753450	CHEMBL3130	True
14471	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1	O00329	Ki	Homo sapiens	9.096910013008056	0.8	CHEMBL1822054	CHEMBL3130	True
14537	CC(=O)Nc1nc(C)c(-c2cc3c(c(NS(C)(=O)=O)c2)C(=O)N(C(C)C2CC2)C3)s1	O00329	IC50	Homo sapiens	6.0999990348465305	794.33	CHEMBL4127396	CHEMBL3130	True
14540	CC(=O)Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N(C(C)C2CC2)C3)s1	O00329	IC50	Homo sapiens	6.0	1000.0	CHEMBL4126156	CHEMBL3130	True
14545	CC(=O)Nc1nc(C)c(-c2ccc(-n3cccn3)cc2)s1	O00329	Ki	Homo sapiens	7.721246399047171	19.0	CHEMBL2071333	CHEMBL3130	True
14549	CC(=O)Nc1nc(C)c(-c2ccc(Br)c(S(=O)(=O)NCCO)c2)s1	O00329	IC50	Homo sapiens	7.481486060122112	33.0	CHEMBL3787634	CHEMBL3130	True
14552	CC(=O)Nc1nc(C)c(-c2ccc(C(C)=O)cc2)s1	O00329	Ki	Homo sapiens	6.585026652029183	260.0	CHEMBL2071334	CHEMBL3130	True
14556	CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)Nc3ccc(F)cc3)c2)s1	O00329	IC50	Homo sapiens	7.5376020021010435	29.0	CHEMBL3787054	CHEMBL3130	True
14559	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(Br)c2)s1	O00329	Ki	Homo sapiens	7.214670164989233	61.0	CHEMBL2071329	CHEMBL3130	True
14563	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(C#N)c2)s1	O00329	Ki	Homo sapiens	7.102372908709557	79.0	CHEMBL2071331	CHEMBL3130	True
14567	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(C(F)(F)F)c2)s1	O00329	Ki	Homo sapiens	7.130768280269022	74.0	CHEMBL2071332	CHEMBL3130	True
14571	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(Cl)c2)s1	O00329	Ki	Homo sapiens	7.102372908709557	79.0	CHEMBL2071328	CHEMBL3130	True
14575	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(F)c2)s1	O00329	IC50	Homo sapiens	6.3872161432802645	410.0	CHEMBL2071330	CHEMBL3130	True
14576	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(F)c2)s1	O00329	Ki	Homo sapiens	6.607303046740334	247.0	CHEMBL2071330	CHEMBL3130	True
14583	CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)cc2)s1	O00329	Ki	Homo sapiens	6.721246399047171	190.0	CHEMBL2071327	CHEMBL3130	True
14587	CC(=O)Nc1nc(C)c(-c2ccc(S(N)(=O)=O)cc2)s1	O00329	Ki	Homo sapiens	6.6777807052660805	210.0	CHEMBL2071326	CHEMBL3130	True
14607	CC(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1	O00329	IC50	Homo sapiens	9.0	1.0	CHEMBL4174132	CHEMBL3130	True
14625	CC(=O)Nc1nc(C)c(-c2csc(C(C)C)n2)s1	O00329	IC50	Homo sapiens	6.207608310501746	620.0	CHEMBL3608321	CHEMBL3130	True
14728	CC(=O)Nc1nc2ccc(-c3cc(C)c(O)c(C)c3)cn2n1	O00329	IC50	Homo sapiens	5.200000237109354	6309.57	CHEMBL2064479	CHEMBL3130	True
14731	CC(=O)Nc1nc2ccc(-c3cccc(NS(C)(=O)=O)c3)cn2n1	O00329	IC50	Homo sapiens	5.3000002024454185	5011.87	CHEMBL2064484	CHEMBL3130	True
14734	CC(=O)Nc1nc2ccc(-c3cccc(S(=O)(=O)NCc4ccccc4)c3)cn2n1	O00329	IC50	Homo sapiens	5.200000237109354	6309.57	CHEMBL2064490	CHEMBL3130	True
14736	CC(=O)Nc1nc2ccc(-c3cccc(S(C)(=O)=O)c3)cn2n1	O00329	IC50	Homo sapiens	5.4999996786570655	3162.28	CHEMBL2064483	CHEMBL3130	True
14795	CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1	O00329	Ki	Homo sapiens	8.920818753952375	1.2	CHEMBL1615189	CHEMBL3130	True
14823	CC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NCc4ccccc4)c3)cn2n1	O00329	IC50	Homo sapiens	5.4999996786570655	3162.28	CHEMBL2064500	CHEMBL3130	True
14826	CC(=O)Nc1nc2ccc(-c3cncc(S(C)(=O)=O)c3)cn2n1	O00329	IC50	Homo sapiens	5.3000002024454185	5011.87	CHEMBL2059907	CHEMBL3130	True
14875	CC(=O)Nc1ncc(-c2nc(N3CCOCC3)c3ncccc3n2)cn1	O00329	IC50	Homo sapiens	5.721246399047171	1900.0	CHEMBL3109135	CHEMBL3130	True
15661	CC(=O)c1c[nH]c2ncnc(N3CCC3c3nn4ccc(Cl)c4c(=O)n3-c3ccccc3)c12	O00329	IC50	Homo sapiens	7.67778070526608	21.0	CHEMBL4468887	CHEMBL3130	True
15663	CC(=O)c1c[nH]c2ncnc(N3CCCC3c3nn4ccc(Cl)c4c(=O)n3-c3cccc(F)c3)c12	O00329	IC50	Homo sapiens	8.522878745280337	3.0	CHEMBL4522342	CHEMBL3130	True
15666	CC(=O)c1c[nH]c2ncnc(N3CCCC3c3nn4ccc(F)c4c(=O)n3-c3ccccc3)c12	O00329	IC50	Homo sapiens	8.301029995663981	5.0	CHEMBL4463472	CHEMBL3130	True
15883	CC(=O)c1ccc(-c2sc(NC(=O)NCCC(=O)NC(C)(C)C)nc2C)cc1	O00329	Ki	Homo sapiens	6.130768280269022	740.0	CHEMBL2069328	CHEMBL3130	True
16332	CC(=O)c1cnc(N)nc1N1CCC1c1nn2ccc(Cl)c2c(=O)n1-c1ccccc1	O00329	IC50	Homo sapiens	6.836514774837539	200.0	CHEMBL4513442	CHEMBL3130	False
18332	CC(C)(C)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1	O00329	IC50	Homo sapiens	6.301029995663981	500.0	CHEMBL3780339	CHEMBL3130	True
18973	CC(C)(C)NS(=O)(=O)c1cncc(-c2cc(F)c3nc(N)nn3c2)c1	O00329	IC50	Homo sapiens	5.100000128334196	7943.28	CHEMBL2064571	CHEMBL3130	True
18976	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1	O00329	IC50	Homo sapiens	5.800000874803202	1584.89	CHEMBL2059909	CHEMBL3130	True
18979	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)N4CCOCC4)nn3c2)c1	O00329	IC50	Homo sapiens	5.4999996786570655	3162.28	CHEMBL2059911	CHEMBL3130	True
18982	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1	O00329	IC50	Homo sapiens	7.199970640755867	63.1	CHEMBL2057371	CHEMBL3130	True
18986	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1	O00329	IC50	Homo sapiens	7.799970733446231	15.85	CHEMBL2057372	CHEMBL3130	True
18990	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCCn4nnc(C5CC5)n4)nn3c2)c1	O00329	IC50	Homo sapiens	7.299988937677887	50.12	CHEMBL2057369	CHEMBL3130	True
18993	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)nn3c2)c1	O00329	IC50	Homo sapiens	7.700057099977232	19.95	CHEMBL2059913	CHEMBL3130	True
18996	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCc4ccccc4)nn3c2)c1	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL2057361	CHEMBL3130	True
18999	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCc4cnccn4)nn3c2)c1	O00329	IC50	Homo sapiens	7.599980364934843	25.12	CHEMBL2057366	CHEMBL3130	True
19003	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCc4nnc(C5CC5)o4)nn3c2)c1	O00329	IC50	Homo sapiens	7.100015437450608	79.43	CHEMBL2057367	CHEMBL3130	True
19007	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCn4cccn4)nn3c2)c1	O00329	IC50	Homo sapiens	6.699991797446188	199.53	CHEMBL2057364	CHEMBL3130	True
19011	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCn4nnc(C5CC5)n4)nn3c2)c1	O00329	IC50	Homo sapiens	8.199970640755865	6.31	CHEMBL2057368	CHEMBL3130	True
19015	CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCc4ccccc4)nn3c2)c1	O00329	IC50	Homo sapiens	5.800000874803202	1584.89	CHEMBL2057360	CHEMBL3130	True
19074	CC(C)(C)Nc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1	O00329	IC50	Homo sapiens	6.130768280269022	740.0	CHEMBL3781926	CHEMBL3130	True
19926	CC(C)(C)S(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1	O00329	IC50	Homo sapiens	5.4999996786570655	3162.28	CHEMBL2064513	CHEMBL3130	True
21043	CC(C)(C)c1ccc(S(=O)(=O)N2CCN(Cn3cc4c(=O)oc5ccccc5c4n3)CC2)cc1	O00329	IC50	Homo sapiens	6.1249387366083	750.0	CHEMBL4519664	CHEMBL3130	True
21701	CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCC4CC43C(N)=O)sc1-2	O00329	IC50	Homo sapiens	5.2518119729937975	5600.0	CHEMBL3609517	CHEMBL3130	True
21708	CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCCC3C(N)=O)sc1-2	O00329	IC50	Homo sapiens	6.154901959985742	700.0	CHEMBL3609514	CHEMBL3130	True
21737	CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CCC4CC43C(N)=O)nc1CC2	O00329	IC50	Homo sapiens	6.958607314841776	110.0	CHEMBL3609524	CHEMBL3130	True
21741	CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CCCC3(C)C(N)=O)nc1CC2	O00329	IC50	Homo sapiens	7.154901959985742	70.0	CHEMBL3609523	CHEMBL3130	True
21747	CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CCCC3C(N)=O)nc1CC2	O00329	IC50	Homo sapiens	7.1938200260161125	64.0	CHEMBL3609522	CHEMBL3130	True
23269	CC(C)(O)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	O00329	Ki	Homo sapiens	8.958607314841776	1.1	CHEMBL2414238	CHEMBL3130	False
23273	CC(C)(O)C1CCN(Cc2ccc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3n2)CC1	O00329	IC50	Homo sapiens	7.259637310505756	55.0	CHEMBL2152769	CHEMBL3130	False
23274	CC(C)(O)C1CCN(Cc2ccc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3n2)CC1	O00329	IC50	Homo sapiens	6.318758762624412	480.0	CHEMBL2152770	CHEMBL3130	False
23275	CC(C)(O)C1CCN(Cc2ccc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1	O00329	IC50	Homo sapiens	6.8386319977650265	145.0	CHEMBL2152771	CHEMBL3130	False
23451	CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1	O00329	IC50	Homo sapiens	6.086186147616282	820.0	CHEMBL3781466	CHEMBL3130	True
23731	CC(C)(O)c1nc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2n1CCO	O00329	Ki	Homo sapiens	8.397940008672037	4.0	CHEMBL2418352	CHEMBL3130	True
23895	CC(C)(c1cc(-c2cnc(NC(=O)N3CCCC3C(N)=O)s2)ccn1)C(F)(F)F	O00329	IC50	Homo sapiens	5.7481046584714095	2000.0	CHEMBL2397196	CHEMBL3130	True
23902	CC(C)(c1cc(C23CCOCC2C3)nc(-c2cccc(O)c2)n1)S(C)(=O)=O	O00329	IC50	Homo sapiens	5.050000064167098	8971.64	CHEMBL4472452_CHEMBL4522844	CHEMBL3130	False
25282	CC(C)C(NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1)C(N)=O	O00329	IC50	Homo sapiens	6.84163750790475	144.0	CHEMBL4560411	CHEMBL3130	True
26279	CC(C)C1COC(=O)N1Cc1cccc(-c2cc(-c3ccnn3C3CCOCC3)c3c(N)ncnn23)c1	O00329	IC50	Homo sapiens	8.698970004336019	2.0	CHEMBL4592486	CHEMBL3130	False
26972	CC(C)CC(N)CC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1	O00329	IC50	Homo sapiens	5.040958607678906	9100.0	CHEMBL3944869	CHEMBL3130	False
29939	CC(C)Cn1nccc1-c1cc(-c2cccnc2)n2ncnc(N)c12	O00329	IC50	Homo sapiens	6.598599459218455	252.0	CHEMBL4543151	CHEMBL3130	False
30887	CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1	O00329	Ki	Homo sapiens	9.899974269892137	0.1259	CHEMBL2216859	CHEMBL3130	True
30931	CC(C)N1CCN(c2cnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc3n2)CC1	O00329	IC50	Homo sapiens	8.2518119729938	5.6	CHEMBL1914742	CHEMBL3130	True
31210	CC(C)NC(=O)c1c(-c2ccccc2)c(C(C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12	O00329	IC50	Homo sapiens	8.494850021680094	3.2	CHEMBL4461539	CHEMBL3130	True
31548	CC(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1	O00329	IC50	Homo sapiens	5.800000874803202	1584.89	CHEMBL2064511	CHEMBL3130	True
31654	CC(C)Nc1ccc2cnn(-c3cncc(-c4ccc(C(=O)O)cc4)n3)c2c1	O00329	IC50	Homo sapiens	8.154901959985743	7.0	CHEMBL4228654	CHEMBL3130	True
33060	CC(C)Oc1cncc(-c2ccc3nc(N)sc3c2)c1	O00329	IC50	Homo sapiens	5.899998417198647	1258.93	CHEMBL3600698	CHEMBL3130	True
33892	CC(C)c1cc(C(C)C)c(S(=O)(=O)N2CCN(Cn3cc4c(=O)oc5ccccc5c4n3)CC2)c(C(C)C)c1	O00329	IC50	Homo sapiens	6.3767507096020974	420.0	CHEMBL4448759	CHEMBL3130	True
33909	CC(C)c1cc(C(C)C)c(S(=O)(=O)n2cc3c(=O)oc4ccccc4c3n2)c(C(C)C)c1	O00329	IC50	Homo sapiens	6.00436480540245	990.0	CHEMBL4532073	CHEMBL3130	True
34169	CC(C)c1ccc(-c2ncccc2N2CCN(S(=O)(=O)c3cccc(-c4cnc(N)nc4)c3)CC2)cc1	O00329	IC50	Homo sapiens	6.341035157335565	456.0	CHEMBL2152127	CHEMBL3130	True
34172	CC(C)c1ccc(-c2nccnc2N2CCN(S(=O)(=O)c3cccc(-c4cnc(N)nc4)c3)CC2)cc1	O00329	IC50	Homo sapiens	6.088309841246137	816.0	CHEMBL2152126	CHEMBL3130	True
34338	CC(C)c1ccc(Cn2c(=O)n(C)c3c4cc(-c5cnc6ccccc6c5)ccc4ncc32)cc1	O00329	IC50	Homo sapiens	7.548213564475709	28.3	CHEMBL4462149	CHEMBL3130	False
35305	CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(C(C)(C)O)CC3)n(C)c2n1	O00329	IC50	Homo sapiens	7.721246399047171	19.0	CHEMBL2171952	CHEMBL3130	False
35306	CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(C(C)(C)O)CC3)n(C)c2n1	O00329	Ki	Homo sapiens	8.698970004336019	2.0	CHEMBL2171952	CHEMBL3130	False
35307	CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1	O00329	IC50	Homo sapiens	6.892790030352131	128.0	CHEMBL2323117	CHEMBL3130	True
35857	CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21	O00329	Kd	Homo sapiens	7.508638306165728	31.0	CHEMBL1241674	CHEMBL3130	True
35881	CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21	O00329	IC50	Homo sapiens	8.221848749616356	6.0	CHEMBL1233882	CHEMBL3130	True
35906	CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21	O00329	Kd	Homo sapiens	7.522878745280337	30.0	CHEMBL3545097	CHEMBL3130	True
35916	CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2cncnc21	O00329	IC50	Homo sapiens	6.655607726314889	221.0	CHEMBL3798574	CHEMBL3130	True
